name;time;carbBase;tags
Sommerrollen;60;rice paper;asian
Maiskolben;20;corn;
Dal;60;;asian, indian
Chili sin carne;45;;
Köttbullar;50;potatoes;
Burger;30;bread;snacky, fat, meat, american, fast food
Nudelpfanne Hoisin;30;noodles;asian
Nudelpfanne Rotes Curry;30;noodles;asian, thai
Sojasauce-Ingwer-Champignon Soße;35;rice;asian
Nudeln mit Tomaten-Paprika-Soße;20;noodles;
Wraps;20;bread;
Döner;20;bread;
Kartoffelgratin;70;potatoes;
Ofengemüse;45;potatoes;
Süßkartoffelpommes;45;potatoes;
Nudelauflauf mit Tomatensahnesoße;45;noodles;
Nudeln mit Tomatensoße;20;noodles;mediterranean
Pfannkuchen;60;dough;
Chili Wraps;45;bread;
Red Thai Curry;40;rice;asian, thai, spicy
Green Thai Curry;40;rice;asian, thai, spicy
Tikka Masala;60;rice;asian, indian
Butter Chicken;60;rice;asian, indian
Indisches Gemüse Curry;60;rice;asian, indian
Pizza;;bread;mediterranean
Bowl;40;rice;
Lasagne;50;noodles;
Flammkuchen;45;bread;
Brotzeit;30;bread;
Pasta al limone;30;noodles;
Pasta Bolognese;45;noodles;
Käse-Lauch-Suppe;45;bread;
Quiche ;60;bread;
Steinpilz Risotto;60;rice;
Nudeln mit Steinpilzsoße;45;noodles;
Nudeln Xao;30;noodles;
Reis Xao;35;rice;
Spinat-Sahne-Soße Nudeln;35;noodles;
Linseneintopf;45;bread;
