name;time;carbBase;tags
Sommerrollen;20;Reispapier;asiatisch, frisch, gesund
Maiskolben;20;Mais;
Dal;40;;
Chili sin carne;90;;
Köttbullar mit Kartoffelbrei;45;Kartoffeln;
Burger;15;Brot;snacky, fat, meat, american, fast food
Nudelpfanne Hoisin;25;Nudeln;
Nudelpfanne Rotes Curry;35;Nudeln;
Sojasauce-Ingwer-Champignon Soße;30;Reis;
Nudeln mit Tomaten-Paprika-Soße;20;Nudeln;
Wraps;15;Brot;
Döner;15;Brot;
Kartoffelgratin;60;Kartoffeln;
Ofengemüse;40;Kartoffeln;
Süßkartoffelpommes;35;Kartoffeln;
Nudelauflauf mit Tomatensahnesoße;50;Nudeln;
Nudeln mit Tomatensoße;20;Nudeln;mediterranean
Pfannkuchen;60;Teig;
Chili Wraps;;Brot;
Red Thai Curry;40;Reis;asian, thai, spicy
Green Thai Curry;40;Reis;asian, thai, spicy
Tikka Masala;50;Reis;
Butter Chicken;50;Reis;
Indisches Gemüse Curry;50;Reis;
Pizza;;Teig;mediterranean
Bowl;;Reis;
Lasagne;60;Nudeln;
Flammkuchen;;Teig;
Brotzeit;15;Brot;
Pasta al limone;30;Nudeln;
Pasta Bolognese;90;Nudeln;
Käse-Lauch-Suppe;90;Brot;
Quiche ;60;Teig;
Steinpilz Risotto;60;Reis;
Nudeln mit Steinpilzsoße;45;Nudeln;
Nudeln Xao;30;Nudeln;
Reis Xao;30;Reis;
